lat,lon,altitude_m,inside_receiver_hull,condition,linear_hrmse_0_25us_m,remote_branch_separation_us,mc_p50_0_1us_m,mc_p95_0_1us_m,mc_p50_0_25us_m,mc_p95_0_25us_m,mc_p50_0_5us_m,mc_p95_0_5us_m,mc_p50_1_0us_m,mc_p95_1_0us_m,class
17.5,104.5,10000,False,49.5982910125584,23815.225569088925,0.2723054795859186,6758.715017420287,17535.2790763519,16896.78754355072,43838.19769087975,33793.57508710144,87676.3953817595,67587.15017420288,175352.790763519,VERY POOR
17.5,104.6,10000,False,82.66994124525584,39030.89374924796,0.33918915168371383,10083.473522160566,29484.718528808426,25208.68380540142,73711.79632202107,50417.36761080284,147423.59264404213,100834.73522160568,294847.18528808426,VERY POOR
17.5,104.7,10000,False,104.01839729027942,46978.80116648194,0.6877711161008792,12670.41879481578,36637.67087840458,31676.046987039445,91594.17719601144,63352.09397407889,183188.35439202288,126704.18794815778,366376.70878404577,VERY POOR
17.5,104.8,10000,False,42.204402552036456,17737.732559980574,1.3207831138416388,4577.470251095108,12409.77541721292,11443.675627737772,31024.438543032302,22887.351255475543,62048.877086064604,45774.70251095109,124097.75417212921,VERY POOR
17.5,104.9,10000,False,25.157821523650668,9613.329521816187,1.9382528871890694,2536.7329292203426,6818.233858229823,6341.832323050856,17045.58464557456,12683.664646101712,34091.16929114912,25367.329292203423,68182.33858229824,VERY POOR
17.5,105.0,10000,False,18.646186600005603,6373.537569108927,1.9513630922816567,1711.9837656357358,4606.606555249156,4279.959414089339,11516.516388122891,8559.918828178677,23033.032776245782,17119.837656357355,46066.065552491564,VERY POOR
17.5,105.1,10000,False,15.571595048903815,4718.438164694934,2.1257536025786594,1287.9517706598745,3391.65102967044,3219.879426649686,8479.127574176098,6439.758853299372,16958.255148352197,12879.517706598745,33916.51029670439,VERY POOR
17.5,105.2,10000,False,13.970638396484889,3742.0433957488513,3.4092795564647163,1056.3933052967,2709.411349862501,2640.9832632417497,6773.528374656252,5281.966526483499,13547.056749312504,10563.933052966999,27094.113498625007,VERY POOR
17.5,105.3,10000,False,13.113738931259364,3110.1585052880673,4.136394895326435,836.7061955585283,2247.0698146176055,2091.7654888963207,5617.674536544013,4183.530977792641,11235.349073088026,8367.061955585283,22470.69814617605,VERY POOR
17.5,105.4,10000,False,12.677391409326999,2675.1186700934127,5.067884758320201,719.5715362699605,1976.4531899533638,1798.9288406749015,4941.132974883409,3597.857681349803,9882.265949766817,7195.715362699606,19764.531899533635,POOR
17.5,105.5,10000,False,12.501394778141393,2363.184362943322,4.1351640136837355,647.4839884019425,1739.8049453745703,1618.7099710048562,4349.512363436426,3237.4199420097125,8699.024726872853,6474.839884019425,17398.049453745705,POOR
17.5,105.6,10000,False,12.500959916259344,2134.0548266691435,3.937913728644744,572.5280061447272,1568.7550232094459,1431.3200153618175,3921.887558023615,2862.640030723635,7843.77511604723,5725.28006144727,15687.55023209446,POOR
17.5,105.7,10000,False,12.629976698615772,1964.118278113762,5.3486537719805325,511.8971870111799,1439.5930707357302,1279.7429675279495,3598.982676839326,2559.485935055899,7197.965353678652,5118.971870111798,14395.930707357304,POOR
17.5,105.8,10000,False,12.8640457024649,1838.7859487548749,7.224417277118076,475.8567845781928,1358.6177190463918,1189.6419614454817,3396.5442976159793,2379.2839228909634,6793.088595231959,4758.567845781927,13586.177190463917,POOR
17.5,105.9,10000,False,13.192114814283466,1748.7095829955215,9.912186862782868,453.2559040725371,1298.847277056566,1133.1397601813428,3247.118192641415,2266.2795203626856,6494.23638528283,4532.559040725371,12988.47277056566,POOR
17.5,106.0,10000,False,13.612264432404656,1687.8099593021254,7.882550889735512,440.6364892066021,1270.1423213033845,1101.591223016505,3175.355803258461,2203.18244603301,6350.711606516922,4406.36489206602,12701.423213033844,POOR
17.5,106.1,10000,False,14.129717470327199,1652.215321971029,5.943712088656977,430.3063985060951,1254.0245484316697,1075.7659962652374,3135.061371079175,2151.531992530475,6270.12274215835,4303.06398506095,12540.2454843167,POOR
17.5,106.2,10000,False,14.756225127754604,1639.6927004184004,4.888513460081959,432.59005869535804,1253.4073430516714,1081.4751467383953,3133.518357629178,2162.9502934767906,6267.036715258356,4325.900586953581,12534.073430516712,POOR
17.5,106.3,10000,False,15.510502736979019,1649.3739479818896,5.665576712743398,432.26171379788616,1265.803848233173,1080.6542844947153,3164.509620582933,2161.3085689894306,6329.019241165866,4322.617137978861,12658.038482331733,POOR
17.5,106.4,10000,False,16.41971085306891,1681.6884469247793,7.880687118190931,440.32879971931834,1294.6387537346895,1100.8219992982959,3236.5968843367236,2201.6439985965917,6473.193768673447,4403.287997193183,12946.387537346895,POOR
17.5,106.5,10000,False,17.52226455997443,1738.480833813943,10.684745170852578,454.35290685170753,1341.965295139087,1135.8822671292687,3354.913237847718,2271.7645342585374,6709.826475695436,4543.529068517075,13419.652951390872,POOR
17.5,106.6,10000,False,18.872641490169887,1823.3479484944457,9.0225283473306,478.3619087573063,1410.2863739030104,1195.904771893266,3525.715934757526,2391.809543786532,7051.431869515052,4783.619087573064,14102.863739030105,POOR
17.5,106.7,10000,False,20.549536617429357,1942.3012191627017,7.238666174305534,506.17485831341855,1504.6699826034899,1265.4371457835462,3761.674956508724,2530.8742915670923,7523.349913017448,5061.748583134185,15046.699826034896,POOR
17.5,106.8,10000,False,22.67007247970533,2104.9887650511446,5.842793427337647,549.4555411301726,1632.9368938061511,1373.6388528254315,4082.3422345153776,2747.277705650863,8164.684469030755,5494.555411301726,16329.36893806151,POOR
17.5,106.9,10000,False,25.41577446719333,2326.9838179509293,5.272079077505503,610.1997415691476,1807.284331689954,1525.499353922869,4518.210829224885,3050.998707845738,9036.42165844977,6101.997415691476,18072.84331689954,POOR
17.5,107.0,10000,False,29.08326924548117,2634.2975534654533,3.5193408011473912,689.7002842050076,2048.015779714205,1724.2507105125192,5120.039449285513,3448.5014210250383,10240.078898571026,6897.002842050077,20480.157797142052,VERY POOR
17.5,107.1,10000,False,34.19214041059696,3073.020955878534,3.6067536416458665,800.1106881794929,2391.0338124802656,2000.2767204487318,5977.584531200663,4000.5534408974636,11955.169062401326,8001.106881794927,23910.338124802653,VERY POOR
17.5,107.2,10000,False,41.74233094374123,3732.374245000596,5.32287773759584,982.8511658371262,2905.7205021930827,2457.1279145928156,7264.301255482708,4914.255829185631,14528.602510965417,9828.511658371262,29057.205021930833,VERY POOR
17.5,107.3,10000,False,53.93551242981673,4809.341372937172,6.862725835443891,1276.884174978776,3747.231726961207,3192.21043744694,9368.079317403019,6384.42087489388,18736.158634806037,12768.84174978776,37472.317269612075,VERY POOR
17.5,107.4,10000,False,76.75477156874044,6839.851822548288,4.283991581345084,1798.8870253551272,5335.586007169238,4497.217563387818,13338.965017923096,8994.435126775636,26677.93003584619,17988.87025355127,53355.86007169238,VERY POOR
17.5,107.5,10000,False,134.18787111863315,11973.474133759539,1.9331940947491364,3138.0016639789246,9323.094339234198,7845.00415994731,23307.735848085496,15690.00831989462,46615.47169617099,31380.01663978924,93230.94339234199,VERY POOR
17.5,107.6,10000,False,540.9603017458563,48416.107816369564,3.6395009206411584,12991.234085565318,37702.74324082092,32478.085213913295,94256.8581020523,64956.17042782659,188513.7162041046,129912.34085565318,377027.4324082092,VERY POOR
17.5,107.7,10000,False,265.9255651667832,23909.98979834401,3.2919698585495185,6505.999740338844,18934.8516957835,16264.99935084711,47337.12923945875,32529.99870169422,94674.2584789175,65059.99740338844,189348.516957835,VERY POOR
17.5,107.8,10000,False,107.2949915354627,9705.173890783188,0.47494086885656095,2665.9671507101443,7698.581436795663,6664.917876775361,19246.453591989157,13329.835753550722,38492.907183978314,26659.671507101444,76985.81436795663,VERY POOR
17.5,107.9,10000,False,67.55104380803078,6154.728348630779,2.7037346886063904,1695.1679724103858,4885.943606568945,4237.919931025965,12214.859016422364,8475.83986205193,24429.71803284473,16951.67972410386,48859.43606568946,VERY POOR
17.5,108.0,10000,False,49.566197287956825,4554.154100757293,1.4923986354529495,1242.6419532394436,3618.801125554932,3106.604883098609,9047.00281388733,6213.209766197218,18094.00562777466,12426.419532394437,36188.01125554932,VERY POOR
17.5,108.1,10000,False,39.368921148382185,3651.4211419611033,1.7860377088471315,983.5693607798436,2904.198591779014,2458.923401949609,7260.4964794475345,4917.846803899218,14520.992958895069,9835.693607798436,29041.985917790138,VERY POOR
17.5,108.2,10000,False,32.84116211409217,3077.5639268902855,3.3476383873785696,840.1631080839144,2445.4050279428484,2100.407770209786,6113.512569857121,4200.815540419572,12227.025139714242,8401.631080839144,24454.050279428484,VERY POOR
17.5,108.3,10000,False,28.333856823341307,2684.880730131106,3.9965283118580275,737.6300734747174,2129.1744409233943,1844.0751836867935,5322.936102308486,3688.150367373587,10645.872204616971,7376.300734747174,21291.744409233943,VERY POOR
17.5,108.4,10000,False,25.057754887445782,2402.719533218484,5.6398280591855885,666.5513985136206,1901.7212850289989,1666.3784962840516,4754.3032125724985,3332.756992568103,9508.606425144997,6665.513985136206,19017.212850289994,POOR
17.5,108.5,10000,False,22.58764760649853,2193.0477906088904,2.327761673638564,609.4808699367782,1731.9192732364415,1523.7021748419454,4329.798183091104,3047.404349683891,8659.596366182208,6094.808699367782,17319.192732364416,POOR
17.5,108.6,10000,False,20.674161055187714,2033.5861061190767,6.365146184120108,564.6575958362318,1605.7266563236794,1411.6439895905794,4014.316640809199,2823.287979181159,8028.633281618398,5646.575958362318,16057.266563236795,POOR
17.5,108.7,10000,False,19.161367850787215,1910.4252753995163,5.4329978954211136,534.7459937327907,1508.4955600030598,1336.8649843319768,3771.23890000765,2673.7299686639535,7542.4778000153,5347.459937327907,15084.9556000306,POOR
17.5,108.8,10000,False,17.946753006873042,1814.4389866272938,4.701377736050109,507.0566390137893,1438.9536600220717,1267.6415975344732,3597.3841500551794,2535.2831950689465,7194.768300110359,5070.566390137893,14389.536600220717,POOR
17.5,108.9,10000,False,16.960136636598914,1739.3953301827598,4.208360614630735,487.55075534271793,1389.4885421472704,1218.8768883567948,3473.721355368176,2437.7537767135896,6947.442710736352,4875.507553427179,13894.885421472703,POOR
17.5,109.0,10000,False,16.15184731651463,1680.8972646004972,3.979307681498124,477.48321096775703,1346.9132774261634,1193.7080274193927,3367.283193565408,2387.4160548387854,6734.566387130816,4774.832109677571,13469.132774261632,POOR
17.6,104.5,10000,False,42.715368423540205,19767.1556931949,0.3302196480453282,5516.112376041461,14265.736444812632,13790.280940103654,35664.34111203158,27580.561880207308,71328.68222406316,55161.123760414615,142657.36444812632,VERY POOR
17.6,104.6,10000,False,52.830364445640136,24571.18874299439,0.253593414316536,6860.832135992503,18504.20471426749,17152.080339981258,46260.51178566872,34304.160679962515,92521.02357133744,68608.32135992503,185042.04714267488,VERY POOR
17.6,104.7,10000,False,100.16792954556287,45544.87028796115,0.35275638193505954,12328.993102610102,35147.523900559136,30822.482756525256,87868.80975139784,61644.96551305051,175737.6195027957,123289.93102610103,351475.2390055914,VERY POOR
17.6,104.8,10000,False,71.63565975679018,30826.7044143218,0.8268109533551226,7957.582182804877,22887.699206853882,19893.95545701219,57219.248017134705,39787.91091402438,114438.49603426941,79575.82182804876,228876.99206853882,VERY POOR
